RandomForestClassifier,GradientBoostingClassifier,KNeighborsClassifier,RidgeClassifier,Perceptron,DecisionTreeClassifier
99.64166666666668,97.75833333333334,79.14166666666667,95.11666666666667,50.2,98.29166666666669
99.58333333333331,97.94166666666668,78.7,94.875,49.375,98.26666666666668
99.56666666666666,97.9,79.31666666666666,94.85,50.24166666666666,98.45
99.5,97.86666666666667,78.625,94.35,54.03333333333333,98.44166666666668
99.49166666666667,97.775,79.80000000000001,94.65833333333332,50.10833333333333,98.30833333333334
99.45833333333334,97.68333333333334,79.49166666666667,94.75833333333334,49.175,98.39166666666668
99.675,97.975,79.11666666666667,94.73333333333332,53.225,98.5
99.60833333333332,97.83333333333334,80.65,94.95,49.56666666666666,98.2
99.6,97.69166666666666,79.30833333333334,94.63333333333334,52.45833333333333,98.26666666666668
99.50833333333333,97.76666666666668,79.30833333333334,94.66666666666669,49.525000000000006,98.275
99.65833333333332,97.95,79.70833333333334,94.725,49.38333333333333,98.41666666666666
99.58333333333331,97.75833333333334,79.83333333333333,95.01666666666668,49.25,98.375
99.625,97.54166666666669,79.11666666666667,94.44166666666666,50.10833333333333,98.25833333333334
99.56666666666666,97.89166666666668,79.26666666666667,94.98333333333332,49.99166666666667,98.45833333333334
99.45833333333334,97.86666666666667,78.64166666666667,94.55,49.28333333333333,98.225
99.56666666666666,97.74166666666667,78.675,94.45833333333331,50.8,98.475
99.65833333333332,97.89166666666668,79.51666666666667,94.69166666666666,49.8,98.325
99.60833333333332,97.675,79.10833333333333,94.79166666666666,50.91666666666666,98.34166666666668
99.55,97.6,79.0,94.41666666666669,51.675,98.25
99.6,97.83333333333334,78.96666666666667,94.95,50.46666666666667,98.025
99.65833333333332,97.85833333333332,79.21666666666667,94.625,49.55,98.15833333333332
99.55833333333334,98.075,78.74166666666666,94.79166666666666,51.71666666666667,98.24166666666667
99.63333333333333,97.825,80.11666666666667,95.125,49.75833333333333,98.125
99.6,97.81666666666666,79.63333333333334,94.90833333333332,49.4,98.125
99.58333333333331,97.66666666666669,79.14999999999999,94.94166666666666,50.18333333333334,98.31666666666666
99.4,97.45833333333334,78.95,94.29166666666666,51.0,97.86666666666667
99.65,97.925,79.05,94.96666666666668,50.66666666666667,98.21666666666668
99.44166666666666,97.675,78.94166666666666,94.79166666666666,51.04166666666666,98.4
99.55,97.45833333333334,78.91666666666667,94.58333333333331,51.141666666666666,98.29166666666669
99.61666666666666,97.875,79.60000000000001,94.83333333333334,50.24999999999999,98.06666666666666
99.6,97.75833333333334,79.29166666666667,94.54166666666669,68.08333333333333,98.325
99.55,97.91666666666666,79.85,94.8,53.85833333333333,98.20833333333331
99.6,97.59166666666668,79.38333333333333,94.89166666666668,51.19166666666667,98.19166666666666
99.5,97.39166666666668,79.9,94.65833333333332,50.74999999999999,98.325
99.58333333333331,97.89166666666668,79.64166666666667,94.9,50.46666666666667,98.29166666666669
99.50833333333333,97.7,78.91666666666667,94.9,50.21666666666667,98.54166666666669
99.70833333333331,97.85,79.09166666666667,94.775,49.85,98.54166666666669
99.60833333333332,97.7,78.69166666666668,94.85833333333332,49.93333333333334,98.14166666666668
99.6,97.98333333333332,79.7,94.875,50.1,98.275
99.6,98.04166666666669,79.675,95.04166666666669,50.125,98.43333333333332
99.58333333333331,97.90833333333332,78.41666666666667,94.84166666666668,63.74999999999999,97.99166666666666
99.58333333333331,97.8,79.03333333333333,95.10833333333332,55.71666666666667,98.325
99.63333333333333,97.76666666666668,78.38333333333334,94.4,84.39166666666667,98.10833333333332
99.55,97.71666666666668,78.93333333333334,94.61666666666667,55.39166666666666,98.35833333333332
99.68333333333334,98.025,79.80833333333334,94.56666666666666,50.95,98.33333333333331
99.73333333333332,97.95,79.85,95.19166666666666,50.09166666666667,98.43333333333332
99.70833333333331,98.25,78.84166666666667,94.925,49.73333333333333,98.40833333333332
99.675,97.5,79.11666666666667,94.5,50.30833333333333,98.16666666666669
99.59166666666668,97.95,79.375,94.225,52.99166666666667,98.46666666666668
99.49166666666667,97.4,79.14166666666667,94.65,51.5,98.11666666666666
99.575,98.0,79.60833333333333,95.1,50.225,98.35833333333332
99.58333333333331,97.58333333333331,79.10833333333333,94.91666666666669,55.80833333333334,98.48333333333332
99.6,97.68333333333334,78.68333333333334,94.76666666666668,83.7,98.11666666666666
99.71666666666668,98.075,78.88333333333334,94.89166666666668,49.825,98.375
99.59166666666668,97.65,79.525,95.025,50.10833333333333,98.15
99.53333333333332,97.89166666666668,79.425,94.825,49.60833333333333,98.45
99.60833333333332,97.575,80.06666666666666,94.825,50.6,97.85833333333332
99.60833333333332,97.825,79.84166666666667,94.86666666666666,50.575,98.25
99.70833333333331,97.88333333333334,78.98333333333333,94.86666666666666,50.475,98.275
99.69166666666666,97.53333333333332,79.20833333333334,94.51666666666668,55.91666666666667,98.31666666666666
99.475,97.78333333333332,78.9,94.25833333333333,50.24999999999999,98.40833333333332
99.575,97.9,80.19166666666668,95.23333333333332,50.641666666666666,98.3
99.70833333333331,98.125,78.75833333333333,94.975,49.74166666666667,98.275
99.60833333333332,97.7,79.33333333333333,94.69166666666666,50.2,98.36666666666667
99.6,97.8,79.60833333333333,94.93333333333334,50.025,98.125
99.61666666666666,97.8,79.09166666666667,94.45,50.175,98.10833333333332
99.58333333333331,97.675,79.65833333333333,94.89166666666668,49.71666666666666,98.125
99.55833333333334,98.025,79.66666666666666,95.35,52.19166666666667,98.39166666666668
99.59166666666668,97.7,79.39166666666667,94.425,50.3,98.18333333333334
99.55833333333334,97.66666666666669,79.48333333333333,94.45,50.91666666666666,98.275
99.5,98.05,79.40833333333333,94.68333333333334,50.85,98.28333333333332
99.625,97.925,79.86666666666666,95.03333333333332,52.78333333333334,98.20833333333331
99.65833333333332,97.79166666666669,79.28333333333333,94.64166666666668,50.55,98.10833333333332
99.55833333333334,97.80833333333334,79.55,94.675,50.14999999999999,98.23333333333332
99.63333333333333,97.88333333333334,79.28333333333333,94.68333333333334,50.43333333333333,98.48333333333332
99.71666666666668,97.81666666666666,79.4,94.875,51.083333333333336,98.38333333333334
99.6,98.2,79.325,94.90833333333332,49.91666666666666,98.55833333333334
99.54166666666666,97.825,79.39166666666667,94.55,51.141666666666666,98.325
99.63333333333333,97.75,79.45833333333333,94.8,49.96666666666666,98.08333333333331
99.65833333333332,97.80833333333334,78.90833333333333,94.925,50.18333333333334,98.48333333333332
99.58333333333331,97.54166666666669,79.35,94.6,49.63333333333333,98.3
99.50833333333333,97.84166666666668,78.81666666666666,94.58333333333331,50.35833333333334,98.39166666666668
99.64166666666668,97.6,79.55833333333334,94.55833333333334,49.55,98.25
99.43333333333332,97.975,79.30833333333334,94.71666666666668,50.49166666666667,98.35833333333332
99.63333333333333,97.70833333333331,79.675,94.75833333333334,50.81666666666666,98.2
99.575,98.03333333333332,79.49166666666667,94.66666666666669,87.6,98.29166666666669
99.55833333333334,97.78333333333332,79.58333333333333,94.66666666666669,50.55,98.03333333333332
99.60833333333332,97.75,79.38333333333333,95.13333333333334,50.48333333333333,98.45
99.575,97.74166666666667,80.01666666666667,94.56666666666666,49.73333333333333,98.45
99.51666666666668,97.86666666666667,79.31666666666666,94.73333333333332,50.04166666666666,98.0
99.75833333333334,97.91666666666666,79.175,94.8,49.96666666666666,98.225
99.48333333333332,97.73333333333332,79.38333333333333,94.63333333333334,50.225,98.46666666666668
99.59166666666668,97.89166666666668,79.25,94.99166666666666,49.94166666666667,98.40833333333332
99.39166666666668,97.63333333333334,79.30833333333334,94.55833333333334,50.03333333333333,97.91666666666666
99.53333333333332,97.85833333333332,79.40833333333333,94.675,50.43333333333333,98.33333333333331
99.65,98.0,78.55,94.6,53.725,98.075
99.525,97.73333333333332,78.65833333333333,94.91666666666669,50.40833333333333,98.36666666666667
99.66666666666669,97.88333333333334,79.23333333333333,94.98333333333332,52.35,98.425
99.65833333333332,97.86666666666667,78.53333333333333,94.9,61.2,98.44166666666668
99.59166666666667,97.76666666666667,79.75833333333333,94.975,50.583333333333336,98.225
